Place of Interest,Type of place,Place address,BiciMAD station,Station locaiton,Available bikes
Estanque Eugenia de Montijo,Monuments, ,224 - Caramuel,Calle Caramuel nº 51,5
Fuente mural de la plaza de la Palmera,Monuments,C General Ricardos ,224 - Caramuel,Calle Caramuel nº 51,5
Fusilamiento de Ocho Carmelitas,Monuments,C Monseñor Óscar Romero ,224 - Caramuel,Calle Caramuel nº 51,5
Jerónimo Iborra-García,Monuments,CALLE DOCTOR JERONIMO IBORRA 16,224 - Caramuel,Calle Caramuel nº 51,5
Monseñor Óscar Romero,Monuments,C Monseñor Óscar Romero 42,224 - Caramuel,Calle Caramuel nº 51,5
Rodríguez Lázaro,Monuments,C Rodríguez Lázaro 1,224 - Caramuel,Calle Caramuel nº 51,5
Fuente de los Cármenes,Monuments,Gta Cármenes ,224 - Caramuel,Calle Caramuel nº 51,5
Fuente mural de la plaza Sisenando,Monuments,PLAZA SISENANDO 1,224 - Caramuel,Calle Caramuel nº 51,5
Fuente circular del parque Eugenia de Montijo,Monuments, ,224 - Caramuel,Calle Caramuel nº 51,5
Fuente tipo Alhambra,Monuments,C Principal de Provincias ,224 - Caramuel,Calle Caramuel nº 51,5
Fuente octogonal de la calle Marcelino Camacho (antigua calle Muñoz Grandes),Monuments,C Marcelino Camacho ,224 - Caramuel,Calle Caramuel nº 51,5
Fuente de Europa,Monuments,C Fuente de Lima ,224 - Caramuel,Calle Caramuel nº 51,5
Fuente del parque de las Cruces,Monuments, ,224 - Caramuel,Calle Caramuel nº 51,5
Fuente en la calle Damasquillo,Monuments,C Damasquillo 4,224 - Caramuel,Calle Caramuel nº 51,5
Fuente en la plaza Patriarca Eijo y Garay,Monuments,Pza Patriarca Eijo y Garay ,224 - Caramuel,Calle Caramuel nº 51,5
Fuente de la Rosaleda,Monuments, ,224 - Caramuel,Calle Caramuel nº 51,5
Fuente Yebenes,Monuments, ,224 - Caramuel,Calle Caramuel nº 51,5
Fuente del Padre Piquer,Monuments,Pº Extremadura ,224 - Caramuel,Calle Caramuel nº 51,5
La Paloma,Monuments,C Guabairo 1,224 - Caramuel,Calle Caramuel nº 51,5
El Madroño,Monuments,C Oca ,224 - Caramuel,Calle Caramuel nº 51,5
Fuente en Aluche,Monuments,C Ocaña ,224 - Caramuel,Calle Caramuel nº 51,5
Fuente en la avenida Nuestra Señora de Fatima,Monuments,Avda Nuestra Señora de Fátima ,224 - Caramuel,Calle Caramuel nº 51,5
Fuente en la calle Aceuchal,Monuments,C Alfaro ,224 - Caramuel,Calle Caramuel nº 51,5
Topografía funcional,Monuments,Avda General Fanjul 2,224 - Caramuel,Calle Caramuel nº 51,5
Fuente Sepúlveda I,Monuments,Pq Cuña Verde ,224 - Caramuel,Calle Caramuel nº 51,5
Fuente Sepúlveda II,Monuments,Pq Cuña Verde ,224 - Caramuel,Calle Caramuel nº 51,5
Estanque Sepúlveda del parque Cuña Verde,Monuments,Pq Cuña Verde ,224 - Caramuel,Calle Caramuel nº 51,5
Fuente en la calle Caramuel,Monuments,C Caramuel ,224 - Caramuel,Calle Caramuel nº 51,5
Fuente Yebenes II,Monuments,C Yébenes 145,224 - Caramuel,Calle Caramuel nº 51,5
Monolito a Luis Ortiz de la Rosa,Monuments,C Ocaña 127,224 - Caramuel,Calle Caramuel nº 51,5
Pirámide en Mirador,Monuments, ,224 - Caramuel,Calle Caramuel nº 51,5
Fuentes de Caracol,Monuments,Pq Cuña Verde ,224 - Caramuel,Calle Caramuel nº 51,5
Puente del Alamo Negro,Monuments,Ctra Zarzón ,224 - Caramuel,Calle Caramuel nº 51,5
Puerta del Zarzón,Monuments,CARRETERA ZARZON 6,224 - Caramuel,Calle Caramuel nº 51,5
Restos historicos del muro de la Puerta del Zarzón,Monuments,Ctra Boadilla del Monte ,224 - Caramuel,Calle Caramuel nº 51,5
Rejas del arroyo Meaques,Monuments,CARRETERA BOADILLA DEL MONTE 1,224 - Caramuel,Calle Caramuel nº 51,5
Acueducto y rejas sobre el arroyo del Barranco de la Zorra,Monuments,CAMINO HUMERA ,224 - Caramuel,Calle Caramuel nº 51,5
Puerta de Rodajos,Monuments,Ctra Rodajos ,224 - Caramuel,Calle Caramuel nº 51,5
Crucero en la calle General Romero Basart,Monuments,C General Romero Basart ,224 - Caramuel,Calle Caramuel nº 51,5
Puerta Colonia de la Prensa,Monuments,C Rodríguez Lázaro 1,224 - Caramuel,Calle Caramuel nº 51,5
Centenario del Hospital Central de la Defensa,Monuments,GLORIETA EJERCITO 1,224 - Caramuel,Calle Caramuel nº 51,5
Estatua Virgen María,Monuments,C Gómez de Arteche 30,224 - Caramuel,Calle Caramuel nº 51,5
Vasco Núñez de Balboa,Monuments,Avda Reyes Católicos 6,110 - Moncloa,Paseo de Moret nº 2,10
Estanque en la avenida Reyes Católicos,Monuments,Avda Reyes Católicos 6,110 - Moncloa,Paseo de Moret nº 2,10
Arco de Moncloa,Monuments, ,110 - Moncloa,Paseo de Moret nº 2,10
Isabel la Católica,Monuments,Avda Reyes Católicos ,110 - Moncloa,Paseo de Moret nº 2,10
General Manuel Cassola,Monuments,Pº Moret ,110 - Moncloa,Paseo de Moret nº 2,10
José de San Martín,Monuments, ,110 - Moncloa,Paseo de Moret nº 2,10
Federico Rubio,Monuments,PARQUE OESTE ,110 - Moncloa,Paseo de Moret nº 2,10
Fuente de la Salud del parque del Oeste,Monuments,PARQUE OESTE ,110 - Moncloa,Paseo de Moret nº 2,10
Torre de iluminación y comunicaciones (Faro de la Moncloa),Monuments,Avda Arco de la Victoria 2,110 - Moncloa,Paseo de Moret nº 2,10
Mirada del Horizonte II,Monuments,C Princesa 87,110 - Moncloa,Paseo de Moret nº 2,10
Virgen Blanca (Virgen del Asedio),Monuments, ,244 - Hospital Clínico,Calle Isaac Peral nº 44,4
Fuente Carlos Jiménez Díaz,Monuments,PLAZA CRISTO REY 1,244 - Hospital Clínico,Calle Isaac Peral nº 44,4
Colegio Mayor San Pablo,Monuments,CALLE ISAAC PERAL 58,244 - Hospital Clínico,Calle Isaac Peral nº 44,4
Francisco Tomás y Valiente,Monuments,CALLE DOMENICO SCARLATTI 6,244 - Hospital Clínico,Calle Isaac Peral nº 44,4
Atletas,Monuments,CALLE CLARA CAMPOAMOR 10,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Santa Rosa de Lima,Monuments,C General Ricardos 177,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
San José,Monuments,CALLE GENERAL RICARDOS 179,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Fuente estrellada de la finca Vista Alegre,Monuments,C Clara Campoamor 10,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Fuente de los Caballos,Monuments,C Arnedo 22,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Fuentes gemelas del palacio nuevo del duque de Riansares,Monuments,C Arnedo 22,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Fuentes gemelas del palacio viejo de la reina Cristina,Monuments,CALLE GENERAL RICARDOS 179,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Asilo de Inválidos,Monuments,C Arnedo 22,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Moreno Benítez Juan,Monuments,C General Ricardos 179,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Cruz de Piedra,Monuments,Pza Parroquia 1,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
San Isidro,Monuments,PUENTE TOLEDO ,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Escultura en la calle Belzunegui,Monuments,C Belzunegui ,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
La Flecha,Monuments,Avda Vía Lusitana ,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Puerta de los Osos,Monuments,C General Ricardos 179,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Fuente con farola en la calle General Ricardos,Monuments,C General Ricardos ,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Fuente de la Junta Municipal de Carabanchel,Monuments,Pza Carabanchel ,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Fuente circular en la glorieta Marques de Vadillo,Monuments,Gta Marqués de Vadillo ,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Fuente plaza de Carabanchel,Monuments,Pza Carabanchel ,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Fuente plaza Eliptica,Monuments,Pza Fernández Ladreda ,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Colonia Torres Garrido,Monuments,Col Torres Garrido ,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Lola Membrives,Monuments,C Lola Membrives 1,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Matadero,Monuments,C Padre Amigó 4,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Santa Rosa,Monuments,Col Torres Garrido ,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Fuente nueva de la glorieta Marques de Vadillo,Monuments,Gta Marqués de Vadillo ,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Fuente circular en la calle Muñoz Grandes,Monuments,Paseo Marcelino Camacho 6,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Fuente Valle de oro,Monuments,C General Ricardos ,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
La Familia,Monuments,Avda Oporto ,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Fuentes en la calle Vía Lusitana,Monuments,C Braganza ,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Fuentes de la avenida Poblados,Monuments,Avda Poblados ,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Fuente neoclásica en la avenida de Oporto,Monuments,Avda Oporto ,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Fuentes en la vía Lusitana,Monuments,C Faro ,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Fuentes en la vía Lusitana,Monuments,C Juan Ramón Carrero ,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Fuente en la calle Vía Lusitana,Monuments,Avda Vía Lusitana ,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Fuente del parque Emperatriz María de Austria,Monuments,Avda Vía Lusitana ,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
El buzón de las palabras,Monuments,Pza Carabanchel ,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Puerta Bonita,Monuments,C General Ricardos ,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Fuente en la calle del Euro,Monuments,Avda Euro ,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Fuente Vía Lusitana,Monuments,Avda Vía Lusitana ,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Pérgola calle del Euro,Monuments,Avda Euro ,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Ría Colegio Las Acacias,Monuments,C General Ricardos 179,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Fray Pedro Ponce de León,Monuments,Avda Eduardo Barreiros 6,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
Fuente circular del Instituto Ponce de León,Monuments,Avda Eduardo Barreiros 6,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
Al Viejo Profesor,Monuments,Avda Eduardo Barreiros 17,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
Ciudad Sanitaria 12 Octubre,Monuments,Avda Córdoba ,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
Imprenta,Monuments,Avda Eduardo Barreiros 6,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
Arturo Pajuelo Rubio,Monuments,Pza Sestao ,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
La Fuente,Monuments,Pza Asociación ,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
Niños en el Colegio Público Marcelo Usera,Monuments,C Perales de Tajuña 1,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
Estanque de Pradolongo,Monuments,PARQUE PRADOLONGO ,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
Fuentes avenida de los Poblados-Rafaela Ybarra,Monuments,Avda Poblados ,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
Estanque Rafaela Ybarra,Monuments,Avda Rafaela Ybarra ,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
Estanque semicircular y canal Pradolongo,Monuments,PARQUE PRADOLONGO ,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
Fuente circular I del parque de Pradolongo,Monuments, ,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
Fuente circular II del parque de Pradolongo,Monuments, ,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
Fuente circular III del parque de Pradolongo,Monuments,PARQUE PRADOLONGO ,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
Venus emergiendo de las aguas,Monuments, ,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
Fuente circular del parque de Pradolongo,Monuments,PARQUE PRADOLONGO ,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
Columnas toscanas Pradolongo,Monuments,PARQUE PRADOLONGO ,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
Monolito Unidad Pozo-Orcasitas,Monuments,Pza Asociación s/n,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
Monolito del parque de Pradolongo,Monuments, ,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
Enrique Tierno Galván,Monuments,C Arroyo Bueno 53,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
Escultura en chapa metálica en la calle San Jenaro,Monuments,C San Jenaro ,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
Fuente del parque Ciudad de los Ángeles,Monuments, ,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
Fuente con escultura en la calle San Jenaro,Monuments,C San Jenaro ,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
Fuente octogonal de la plaza Ágata I,Monuments,Pza Ágata ,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
Fuente octogonal de la plaza Ágata II,Monuments,Pza Ágata ,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
Fuente de la Piña en Villaverde,Monuments,CALLE ALCARRIA ,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
Fuente plaza Ágata,Monuments,Pza Ágata ,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
Centro Básico de Servicios Sociales y 3ª Edad,Monuments,C Villalonso 12,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
Centro Cultural Ágata,Monuments,Pza Ágata 2,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
Puerta de la Alcarria,Monuments,C Alcarria ,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
Fuente ornamental Mirasierra-Amparo Usera,Monuments,C Amparo Usera ,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
La Gloria,Monuments,Gta Cádiz ,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
Monolito jardines de Cándido Reyes,Monuments,Avda Poblados 154,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
Fuente circular en la calle Almendrales,Monuments,C Almendrales ,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
Fuente Meseta de Orcasitas,Monuments,Avda Rafaela Ybarra 101,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
Monolito Marcelo Usera,Monuments,C Marcelo Usera 50,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
David González Rubio I,Monuments,C Doctor Tolosa Latour ,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
Umbráculo del Parque del Manzanares,Monuments,CAMINO PERALES ,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
Fuente del parque del Manzanares,Monuments,CAMINO PERALES 1,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
Monumento 1 Gran Vía Villaverde Letras,Monuments,C Gran Vía de Villaverde ,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
Monumento 2 Gran Vía Villaverde,Monuments,AVENIDA GRAN VIA DE VILLAVERDE 20,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
Monumento 3 Gran Vía Villaverde,Monuments,AVENIDA GRAN VIA DE VILLAVERDE 20,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
Templete Meseta de Orcasitas,Monuments,Avda Rafaela Ybarra 101,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
Grupo escultórico mujer y tortuga,Monuments,Pº Alberto Palacios 1,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
Esculturas emergentes Pradolongo,Monuments,C Doctor Tolosa Latour ,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
Banda en los círculos,Monuments, ,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
Maternidad,Monuments,C Cestona 5,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
David González Rubio II,Monuments,C Doctor Tolosa Latour ,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
Estanques rectangulares Pradolongo,Monuments, ,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
Placa Matadero en Usera,Monuments,"Avda Manzanares, del 212",213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
Linotipia,Monuments,Avda Eduardo Barreiros 6,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
Escultura con material de desecho,Monuments,Avda Eduardo Barreiros 6,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
Estanque Centro de Informática Seg. Social,Monuments,CALLE DOCTOR TOLOSA LATOUR 7,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
Escultura monolítica I Inst. Prof. de Sordomudos Ponce de León,Monuments,Avda Eduardo Barreiros 6,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
Escultura monolítica II Inst. Prof. de Sordomudos Ponce de León,Monuments,Avda Eduardo Barreiros 6,213 - Glorieta de Cádiz,Calle Antonio López nº 129,18
Virgen de la Misericordia,Monuments,C Arroyo del Olivar 100,227 - Concordia,Calle Arroyo del Olivar nº 6,21
Grupo escultórico C. Especialidades V. Soldevilla I,Monuments,C Sierra de Alquife 8,227 - Concordia,Calle Arroyo del Olivar nº 6,21
Grupo escultórico C. Especialidades V. Soldevilla II,Monuments,CALLE SIERRA DE ALQUIFE 8,227 - Concordia,Calle Arroyo del Olivar nº 6,21
Amós Acero,Monuments, ,227 - Concordia,Calle Arroyo del Olivar nº 6,21
Figura femenina,Monuments,Trav Felipe de Diego 20,227 - Concordia,Calle Arroyo del Olivar nº 6,21
Familia,Monuments,Trav Felipe de Diego ,227 - Concordia,Calle Arroyo del Olivar nº 6,21
Geometría Natural,Monuments,C Sierra de Molina ,227 - Concordia,Calle Arroyo del Olivar nº 6,21
Diana,Monuments,Trav Felipe de Diego ,227 - Concordia,Calle Arroyo del Olivar nº 6,21
Homenaje a Goya - La Maja desnuda,Monuments,Trav Felipe de Diego 19,227 - Concordia,Calle Arroyo del Olivar nº 6,21
A Neruda-El Ser alado,Monuments,Gta José Luis Ozores 116,227 - Concordia,Calle Arroyo del Olivar nº 6,21
Oso y Madroño,Monuments,C Barros 16,227 - Concordia,Calle Arroyo del Olivar nº 6,21
Un Personaje Importante,Monuments,Trav Felipe de Diego ,227 - Concordia,Calle Arroyo del Olivar nº 6,21
Fuente circular del parque Amós Acero,Monuments, ,227 - Concordia,Calle Arroyo del Olivar nº 6,21
Víctimas Ayuntamiento de Vallecas,Monuments,Avda Albufera 42,227 - Concordia,Calle Arroyo del Olivar nº 6,21
Mosaico mural,Monuments,Trav Felipe de Diego ,227 - Concordia,Calle Arroyo del Olivar nº 6,21
Paneles cerámicos vidriados. Palomeras bajas,Monuments,CALLE AHIJONES 1,227 - Concordia,Calle Arroyo del Olivar nº 6,21
Unidad vecinal Nº 5 Entrevías,Monuments,C Cazorla ,227 - Concordia,Calle Arroyo del Olivar nº 6,21
Fuente de Mercamadrid,Monuments,Me Mercado Mercamadrid ,227 - Concordia,Calle Arroyo del Olivar nº 6,21
Mercamadrid,Monuments,Me Mercado Mercamadrid ,227 - Concordia,Calle Arroyo del Olivar nº 6,21
José Luis Pinto Álvarez,Monuments,Me Mercado Mercamadrid ,227 - Concordia,Calle Arroyo del Olivar nº 6,21
Padre Llanos,Monuments,C Cooperativa Eléctrica ,227 - Concordia,Calle Arroyo del Olivar nº 6,21
Fuente de la Asamblea de Madrid,Monuments,Pza Asamblea de Madrid ,227 - Concordia,Calle Arroyo del Olivar nº 6,21
La Abuela rockera-Ángeles Rodríguez Hidalgo,Monuments,C Peña Gorbea ,227 - Concordia,Calle Arroyo del Olivar nº 6,21
Fuente en la calle Arroyo del Olivar,Monuments,C Arroyo del Olivar ,227 - Concordia,Calle Arroyo del Olivar nº 6,21
Homenaje a García Lorca - Arco en el pentágono,Monuments,C Puerto del Milagro ,227 - Concordia,Calle Arroyo del Olivar nº 6,21
Fuente en la avenida de las Glorietas,Monuments,C Esteban Carros ,227 - Concordia,Calle Arroyo del Olivar nº 6,21
Plano de Entrevías,Monuments,Avda Entrevías 52,227 - Concordia,Calle Arroyo del Olivar nº 6,21
Fuente mural del parque Fofó,Monuments, ,227 - Concordia,Calle Arroyo del Olivar nº 6,21
Fuente Pablo Neruda I,Monuments,Avda Pablo Neruda 112,227 - Concordia,Calle Arroyo del Olivar nº 6,21
Fuente Pablo Neruda II,Monuments,AVENIDA PABLO NERUDA 114,227 - Concordia,Calle Arroyo del Olivar nº 6,21
Fuente en la estación Asamblea de Madrid I,Monuments,Avda Entrevías s/n,227 - Concordia,Calle Arroyo del Olivar nº 6,21
Fuente en la estación Asamblea de Madrid II,Monuments,Avda Entrevías ,227 - Concordia,Calle Arroyo del Olivar nº 6,21
Fuente en la estación Asamblea de Madrid III,Monuments,Avda Entrevías s/n,227 - Concordia,Calle Arroyo del Olivar nº 6,21
Fuente en la estación Asamblea de Madrid IV,Monuments,Avda Entrevías s/n,227 - Concordia,Calle Arroyo del Olivar nº 6,21
Fuente en la estación Asamblea de Madrid V,Monuments,Avda Entrevías s/n,227 - Concordia,Calle Arroyo del Olivar nº 6,21
Monumento a las víctimas del 11-M El Pozo,Monuments,Avda Entrevías ,227 - Concordia,Calle Arroyo del Olivar nº 6,21
Orden cósmico,Monuments,Trav Felipe de Diego s/n,227 - Concordia,Calle Arroyo del Olivar nº 6,21
Juan Carlos I,Monuments,Avda Pablo Neruda 142,227 - Concordia,Calle Arroyo del Olivar nº 6,21
Placa inauguración Asamblea de Madrid,Monuments,Avda Pablo Neruda 142,227 - Concordia,Calle Arroyo del Olivar nº 6,21
Encuentro en la playa,Monuments,Trav Felipe de Diego 2,227 - Concordia,Calle Arroyo del Olivar nº 6,21
Carlos María Rodríguez de Valcárcel,Monuments,Pza Encuentro 4,220 - Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6,16
Fuente semicircular Pinos,Monuments,PARQUE PINOS ,220 - Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6,16
Burrito,Monuments,C Pío Felipe 12,220 - Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6,16
Eos,Monuments,C Las Marismas 25,220 - Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6,16
Hypnos,Monuments,C Las Marismas 41,220 - Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6,16
Escudo de Madrid,Monuments,Pza Encuentro ,220 - Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6,16
Sagrado Corazón de Jesús,Monuments,CALLE ARTURO SORIA 101,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Ad Iesum per Mariam,Monuments,AVENIDA MACHUPICHU 1,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Escultura AENA,Monuments,C Arturo Soria 109,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Cinco obeliscos Centro Comercial Arturo Soria Plaza,Monuments,C Arturo Soria 126,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,13
San José,Monuments,C Mar Adriático 11,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Arturo Soria y Mata,Monuments,C Arturo Soria ,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Fauna Mayor Ibérica I,Monuments,C Arturo Soria ,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Fauna Mayor Ibérica II,Monuments,C Arturo Soria 101,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Estanque Arturo Soria I,Monuments,C Arturo Soria 36,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Estanque Arturo Soria II,Monuments,C Arturo Soria 118,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Dedos,Monuments,PARQUE JUAN CARLOS I 1,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Reina Sofía,Monuments,Ctra Canillas 51,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Escultura abstracta en la calle Pedroñeras,Monuments,C Pedroñeras 31,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Fuente del parque Villarrosa,Monuments,C Aconcagua ,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Fuente de los caballitos de Hortaleza,Monuments,C Mar Amarillo ,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Fuente mural del parque Isabel Clara Eugenia,Monuments, ,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Estanque parque Huerta de la Salud,Monuments, ,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Estanque escalonado Pinar del Rey,Monuments,C Macuaje ,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Ría y estanque Villarrosa,Monuments,C Aconcagua ,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Centro de Educación Especial Reina Sofía,Monuments,Ctra Canillas 51,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Colegio Público Dionisio Ridruejo,Monuments,C Zipaquira 14,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Plaza de la Unión Cárcavas-San Antonio,Monuments,Pza Unión Cárcavas-San Antonio ,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Mariano Martínez López (actualmente desaparecida),Monuments,Pza Unión Cárcavas-San Antonio ,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Monolito conmemorativo del parque Villarrosa,Monuments,C Pedroñeras ,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Pilar IV,Monuments,C Mar de las Antillas 1,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Monumento a Enrique Tierno Galván,Monuments,C Aconcagua ,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Reloj solar,Monuments,C Aconcagua ,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Templete Villarrosa,Monuments,C Aconcagua ,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Estanque alto del parque en la Quinta de los Molinos,Monuments,C Alcalá 527,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Dos estanques rectangulares en la calle Alcalá,Monuments,C Alcalá 527,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Fuente con cuatro tazas de la Quinta de los Molinos,Monuments,C Alcalá 527,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,13
